year,title,studio,total_gross,total_theaters,opening_gross,opening_theaters,opening_date
2013,Grudge Match,WB,"$29,807,260",2856,"$7,021,993",2838,12/25
2013,One Direction: This is Us,TriS,"$28,873,374",2735,"$15,815,497",2735,8/30
2013,Kick-Ass 2,Uni.,"$28,795,985",2945,"$13,332,955",2940,8/16
2013,Dallas Buyers Club,Focus,"$27,298,285",1110,"$260,865",9,11/1
2013,Rush (2013),Uni.,"$26,947,624",2308,"$187,289",5,9/20
2013,The Host (2013),ORF,"$26,627,201",3202,"$10,600,112",3202,3/29
2013,The World's End,Focus,"$26,004,851",1553,"$8,811,790",1551,8/23
2013,21 and Over,Rela.,"$25,682,380",2771,"$8,754,168",2771,3/1
2013,Her (2013),WB,"$25,568,251",1729,"$260,382",6,12/18
2012,Marvel's The Avengers,BV,"$623,357,910",4349,"$207,438,708",4349,5/4
2012,The Dark Knight Rises,WB,"$448,139,099",4404,"$160,887,295",4404,7/20
2012,The Hunger Games,LGF,"$408,010,692",4137,"$152,535,747",4137,3/23
2012,Skyfall,Sony,"$304,360,277",3526,"$88,364,714",3505,11/9
2012,The Hobbit: An Unexpected Journey,WB (NL),"$303,003,568",4100,"$84,617,303",4045,12/14
2012,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737",4070,"$141,067,634",4070,11/16
2012,The Amazing Spider-Man,Sony,"$262,030,663",4318,"$62,004,688",4318,7/3
2012,Brave,BV,"$237,283,207",4164,"$66,323,594",4164,6/22
2012,Ted,Uni.,"$218,815,487",3303,"$54,415,205",3239,6/29
2012,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482",4263,"$60,316,738",4258,6/8
2012,Dr. Seuss' The Lorax,Uni.,"$214,030,500",3769,"$70,217,070",3729,3/2
2012,Wreck-It Ralph,BV,"$189,422,889",3752,"$49,038,712",3752,11/2
2012,Lincoln,BV,"$182,207,973",2293,"$944,308",11,11/9
2012,MIB 3,Sony,"$179,020,854",4248,"$54,592,779",4248,5/25
2012,Django Unchained,Wein.,"$162,805,434",3012,"$30,122,888",3010,12/25
2012,Ice Age: Continental Drift,Fox,"$161,321,843",3886,"$46,629,259",3881,7/13
2012,Snow White and the Huntsman,Uni.,"$155,332,381",3777,"$56,217,700",3773,6/1
2012,Les Miserables (2012),Uni.,"$148,809,770",2927,"$27,281,735",2814,12/25
2012,Hotel Transylvania,Sony,"$148,313,048",3375,"$42,522,194",3349,9/28
2012,Taken 2,Fox,"$139,854,287",3706,"$49,514,769",3661,10/5
2012,21 Jump Street,Sony,"$138,447,667",3148,"$36,302,612",3121,3/16
2012,Argo,WB,"$136,025,503",3247,"$19,458,109",3232,10/12
2012,Silver Linings Playbook,Wein.,"$132,092,958",2809,"$443,003",16,11/16
2012,Prometheus,Fox,"$126,477,084",3442,"$51,050,101",3396,6/8
2012,Safe House,Uni.,"$126,373,434",3121,"$40,172,720",3119,2/10
2012,The Vow,SGem,"$125,014,030",3038,"$41,202,458",2958,2/10
2012,Life of Pi,Fox,"$124,987,023",2946,"$22,451,514",2927,11/21
2012,Magic Mike,WB,"$113,721,571",3120,"$39,127,170",2930,6/29
2012,The Bourne Legacy,Uni.,"$113,203,870",3753,"$38,142,825",3745,8/10
2012,Journey 2: The Mysterious Island,WB (NL),"$103,860,290",3500,"$27,335,363",3470,2/10
2012,Rise of the Guardians,P/DW,"$103,412,758",3672,"$23,773,465",3653,11/21
2012,Zero Dark Thirty,Sony,"$95,720,716",2946,"$417,150",5,12/19
2012,Flight,Par.,"$93,772,375",2638,"$24,900,566",1884,11/2
2012,Think Like a Man,SGem,"$91,547,205",2052,"$33,636,303",2015,4/20
