,index,title,score
218,0,A Tale of Two Sisters,65
219,0,The Bounty Hunter,22
220,0,Julie & Julia,66
221,0,The Other Guys,64
222,0,The Sorcerer's Apprentice,46
223,0,Paranormal Activity,68
224,0,Small Town Crime,68
225,0,Red Riding Hood,29
226,0,Safe House,52
227,0,The Expendables 3,35
228,0,American Animals,68
229,0,A Wrinkle in Time,53
230,0,I Hate Valentine's Day,17
231,0,Morning Glory,57
232,0,Salt,65
233,0,Get Him to the Greek,65
234,0,Frankenweenie,74
235,0,The Crazies,55
236,0,Predators,51
237,0,Rio,63
238,0,Wall Street: Money Never Sleeps,59
239,0,Braven,61
240,0,She's Out of My League,46
241,0,Letters to Juliet,50
242,0,Natural Born Killers,74
243,0,The Social Network,95
244,0,The Back-up Plan,34
245,0,The Accountant,51
246,0,Date Night,56
247,0,Resident Evil: Afterlife,37
248,0,Sex and the City 2,27
249,0,The Adjustment Bureau,60
250,0,Charlie St. Cloud,37
251,0,Immortals,46
252,0,Super 8,72
253,0,Marmaduke,30
254,0,Megamind,63
255,0,Eat Pray Love,50
256,0,The Tourist,37
257,0,Grown Ups 2,19
258,0,Skyfall,81
259,0,Dinner for Schmucks,56
260,0,Little Fockers,27
261,0,Gulliver's Travels,33
262,0,The Last Exorcism,63
263,0,Team America: World Police,64
264,0,Contagion,70
265,0,Tangled,71
266,0,"Big Mommas: Like Father, Like Son",22
267,0,Transformers: Dark of the Moon,42
268,0,Secretariat,61
269,0,The Night Before,58
270,0,Cats & Dogs: The Revenge of Kitty Galore,30
271,0,Easy A,72
272,0,The Zookeeper's Wife,57
273,0,Real Steel,56
274,0,Vampires Suck,18
275,0,The Sitter,39
276,0,The Green Hornet,39
277,0,The Secret Life of Walter Mitty,54
278,0,Scream 4,52
279,0,Paranormal Activity 2,53
280,0,Legend of the Guardians: The Owls of Ga'Hoole,53
281,0,Yogi Bear,35
282,0,Saw 3D,24
283,0,Due Date,51
284,0,Black Swan,79
285,0,How Do You Know,46
286,0,Soul Surfer,53
287,0,No Strings Attached,50
288,0,Smurfs: The Lost Village,40
289,0,"Paul, Apostle of Christ",52
290,0,The Switch,52
291,0,The Boy Next Door,30
292,0,Hugo,83
293,0,Devil's Gate,37
294,0,The Dilemma,46
295,0,Burlesque,47
296,0,The Sweet Hereafter,91
297,0,Watchmen,56
298,0,Skyscraper,51
299,0,Battleship,41
300,0,The Gambler,55
301,0,The King's Speech,88
302,0,Rango,75
303,0,The Hangover Part III,30
304,0,A Good Day to Die Hard,28
305,0,Battle: Los Angeles,37
306,0,Source Code,74
307,0,Green Lantern,39
308,0,The Fighter,79
309,0,I Am Number Four,36
310,0,Peppermint,29
311,0,Moana,81
312,0,Cars 2,57
313,0,Dracula Untold,40
314,0,Gravity,96
315,0,Kung Fu Panda 2,67
316,0,The Dark Knight Rises,78
317,0,The Rite,38
318,0,Independence Day: Resurgence,32
319,0,The Hobbit: An Unexpected Journey,58
320,0,Something Borrowed,36
321,0,Man of Steel,55
322,0,The Bourne Legacy,61
323,0,John Carter,51
,,,
325,0,Cowboys & Aliens,50
326,0,The Help,62
327,0,The Roommate,23
328,0,Hall Pass,45
329,0,The Change-Up,39
330,0,Once Upon a Time ... in Hollywood,83
331,0,The Judge,48
332,0,Oblivion,54
333,0,R.I.P.D.,25
334,0,The Croods,55
335,0,Fast Five,66
336,0,Super Troopers 2,41
337,0,Limitless,59
338,0,Friends with Benefits,63
339,0,Inside Out,94
340,0,X-Men: First Class,65
341,0,The Lincoln Lawyer,63
342,0,Star Wars: Episode IV - A New Hope,90
343,0,Final Destination 5,50
344,0,Bad Teacher,47
345,0,Bridesmaids,75
346,0,Justin Bieber: Never Say Never,52
347,0,Elysium,61
348,0,Star Trek Into Darkness,72
349,0,Alvin and the Chipmunks: Chipwrecked,24
350,0,"Crazy, Stupid, Love",68
351,0,That's My Boy,31
352,0,Horrible Bosses,57
353,0,Ice Age: Continental Drift,49
354,0,War Horse,72
355,0,Water for Elephants,52
356,0,The Hobbit: The Desolation of Smaug,66
357,0,The Lone Ranger,37
358,0,Hanna,65
359,0,Kick-Ass 2,41
360,0,Mission: Impossible - Ghost Protocol,73
361,0,Overlord,60
362,0,Mr. Popper's Penguins,53
363,0,Jumping the Broom,56
364,0,Larry Crowne,41
365,0,Spy Kids: All the Time in the World,37
366,0,Wrath of the Titans,37
367,0,Looper,84
368,0,Moneyball,87
369,0,Midnight in Paris,81
370,0,Snow White and the Huntsman,57
371,0,This Means War,31
372,0,30 Minutes or Less,49
373,0,Dark Shadows,55
374,0,Sherlock Holmes: A Game of Shadows,48
375,0,Tower Heist,59
376,0,Dolphin Tale,64
377,0,New Year's Eve,22
378,0,Joy,56
379,0,Rise of the Planet of the Apes,68
380,0,Extremely Loud and Incredibly Close,46
381,0,SPECTRE,60
382,0,Iron Man 3,62
383,0,Colombiana,45
384,0,Think Like a Man,51
385,0,Grudge Match,35
386,0,Like a Boss,32
387,0,Mirror Mirror,46
388,0,Monsters University,65
389,0,47 Ronin,28
390,0,Django Unchained,81
391,0,Wind River,73
392,0,Argo,86
393,0,The Descendants,84
394,0,Happy Feet Two,50
395,0,Risen,51
396,0,Pacific Rim: Uprising,44
397,0,Aquaman,55
398,0,Prometheus,64
399,0,The Muppets,75
400,0,American Reunion,49
401,0,Sing,59
402,0,The Iron Lady,54
403,0,World War Z,63
404,0,Courageous,42
405,0,Paranormal Activity 3,59
406,0,The Hunger Games,68
407,0,The Vow,43
408,0,Lincoln,86
409,0,Journey 2: The Mysterious Island,41
410,0,X-Men Origins: Wolverine,40
411,0,Resident Evil: Retribution,39
412,0,The Visit,55
413,0,Abraham Lincoln: Vampire Hunter,42
414,0,The Expendables 2,51
415,0,Warcraft,32
416,0,G.I. Joe: Retaliation,41
417,0,Percy Jackson: Sea of Monsters,39
418,0,12 Years a Slave,96
419,0,Red Tails,46
420,0,We Bought a Zoo,58
421,0,Jack Reacher: Never Go Back,47
422,0,Fifty Shades of Grey,46
423,0,Act of Valor,40
424,0,The Five-Year Engagement,62
425,0,Jack and Jill,23
426,0,Now You See Me,50
427,0,The Disaster Artist,76
428,0,The Devil Inside,18
429,0,The Three Stooges,56
430,0,Mad Max: Fury Road,90
431,0,Contraband,51
432,0,Thor: The Dark World,54
433,0,Jupiter Ascending,40
434,0,End of Watch,68
435,0,What to Expect When You're Expecting,41
436,0,Dear Dictator,44
437,0,The Lucky One,39
438,0,Bill & Ted's Excellent Adventure,44
439,0,Magic Mike,72
440,0,Walking with Dinosaurs,37
441,0,ParaNorman,72
442,0,Ender's Game,51
443,0,The Smurfs 2,34
444,0,The Campaign,50
445,0,Miss Bala,79
446,0,Rock of Ages,47
447,0,Lawless,58
448,0,Rise of the Guardians,58
449,0,Puss in Boots,65
450,0,Hotel Transylvania 3: Summer Vacation,54
451,0,Gangster Squad,40
452,0,After Earth,33
453,0,Taken 2,45
454,0,Warm Bodies,60
455,0,Silver Linings Playbook,81
456,0,Jack the Giant Slayer,51
457,0,Sinister,53
458,0,It,69
459,0,Moonrise Kingdom,84
460,0,Madagascar 3: Europe's Most Wanted,60
461,0,Mr. Peabody & Sherman,59
